dataset,dataset_type,variable,variable_label,package,fn,fn_url,resource1_text,resource1_url
ADAE,OCCDS,AENTMF,Derive analysis end time imputation flag,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adae.R
ADAE,OCCDS,ASTDTM,Derive analysis start datetime and date/time imput. flags,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adae.R
ADAE,OCCDS,ASTDTF,Derive analysis start date imputation flag,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adae.R
ADAE,OCCDS,ASTTMF,Derive analysis start time imputation flag,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adae.R
ADAE,OCCDS,LDOSEDTM,Derive last dose datetime,admiral,derive_vars_joined,https://pharmaverse.github.io/admiral/reference/derive_vars_joined.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adae.R
ADBCVA,OCCDS,PARAM,Derive a list of parameter,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adbcva.R
ADBCVA,OCCDS,"PARAMCD=""SBCVALOG""",Derive study eye visual acuity log MAR Score,admiral,derive_param_computed,https://pharmaverse.github.io/admiral/reference/derive_param_computed.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adbcva.R
ADBCVA,OCCDS,"PARAMCD=""FBCVALOG""",Derive fellow eye visual acuity log MAR Score,admiral,derive_param_computed,https://pharmaverse.github.io/admiral/reference/derive_param_computed.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adbcva.R
ADBCVA,OCCDS,ADT,Derive analysis date,admiral,derive_vars_dt,https://pharmaverse.github.io/admiral/reference/derive_vars_dt.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adbcva.R
ADBCVA,OCCDS,ADY,Derive analysis relative day,admiral,derive_vars_dy,https://pharmaverse.github.io/admiral/reference/derive_vars_dy.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adbcva.R
ADBCVA,OCCDS,ONTRTFL,Derive on-treatment flag,admiral,derive_var_ontrtfl,https://pharmaverse.github.io/admiral/reference/derive_var_ontrtfl.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adbcva.R
ADBCVA,OCCDS,ABLFL,Derive analysis baseline flag,admiral,restrict_derivation,https://pharmaverse.github.io/admiral/reference/restrict_derivation.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adbcva.R
ADBCVA,OCCDS,ANL01FL,Derive flag last result within a visit and timepoint for baseline and post-baseline records,admiral,restrict_derivation,https://pharmaverse.github.io/admiral/reference/restrict_derivation.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adbcva.R
ADBCVA,OCCDS,ANL02FL,Derive flag last result within a PARAMCD for baseline & post-baseline records,admiral,restrict_derivation,https://pharmaverse.github.io/admiral/reference/restrict_derivation.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adbcva.R
ADBCVA,OCCDS,WORS01FL,Derive flag worst result within a PARAMCD for baseline & post-baseline records,admiral,restrict_derivation,https://pharmaverse.github.io/admiral/reference/restrict_derivation.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adbcva.R
ADBCVA,OCCDS,BASE,Calculate BASE,admiral,derive_var_base,https://pharmaverse.github.io/admiral/reference/derive_var_base.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adbcva.R
ADBCVA,OCCDS,BASEC,Calculate BASEC,admiral,derive_var_base,https://pharmaverse.github.io/admiral/reference/derive_var_base.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adbcva.R
ADBCVA,OCCDS,CHG,Derive change from baseline,admiral,derive_var_chg,https://pharmaverse.github.io/admiral/reference/derive_var_chg.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adbcva.R
ADBCVA,OCCDS,PCHG,Derive percent change from baseline,admiral,derive_var_pchg,https://pharmaverse.github.io/admiral/reference/derive_var_pchg.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adbcva.R
ADBCVA,OCCDS,ASEQ,Derive sequential number for observations within each by group,admiral,derive_var_obs_number,https://pharmaverse.github.io/admiral/reference/derive_var_obs_number.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adbcva.R
ADBCVA,OCCDS,STUDYEYE,Derive study eye,admiralophtha,derive_var_studyeye,https://pharmaverse.github.io/admiralophtha/reference/derive_var_studyeye.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adbcva.R
ADBCVA,OCCDS,AFEYE,Derive affected eye,admiralophtha,derive_var_afeye,https://pharmaverse.github.io/admiralophtha/reference/derive_var_afeye.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adbcva.R
ADCE,ADSL,APERSDT,Derive period start date,admiral,create_period_dataset,https://pharmaverse.github.io/admiral/reference/create_period_dataset.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adce.R
ADCE,ADSL,APEREDT,Derive period end date,admiral,create_period_dataset,https://pharmaverse.github.io/admiral/reference/create_period_dataset.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adce.R
ADCE,ADSL,ASTDT,Derive analysis start date,admiral,derive_vars_dt,https://pharmaverse.github.io/admiral/reference/derive_vars_dt.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adce.R
ADCE,ADSL,AENDT,Derive analysis end date,admiral,derive_vars_dt,https://pharmaverse.github.io/admiral/reference/derive_vars_dt.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adce.R
ADCE,ADSL,AOCC01FL,Derive occurrence flags: 1st occurrence of most severe solicited adverse events,admiral,restrict_derivation,https://pharmaverse.github.io/admiral/reference/restrict_derivation.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adce.R
ADCE,ADSL,ADURN,Derive analysis duration (value and unit),admiral,derive_vars_duration,https://pharmaverse.github.io/admiral/reference/derive_vars_duration.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adce.R
ADCE,ADSL,ASEQ,Derive sequential number for observations within each by group,admiral,derive_var_obs_number,https://pharmaverse.github.io/admiral/reference/derive_var_obs_number.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adce.R
ADCE,ADSL,ASTDY,Derive start relative day variable,admiral,derive_vars_dy,https://pharmaverse.github.io/admiral/reference/derive_vars_dy.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adce.R
ADCE,ADSL,AENDY,Derive end relative day variable,admiral,derive_vars_dy,https://pharmaverse.github.io/admiral/reference/derive_vars_dy.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adce.R
ADCM,OCCDS,TRTSDT,Derive treatment start date,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,TRTEDT,Derive treatment end date,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,DTHDT,Derive death date,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,EOSDT,Derive end of study date,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,TRT01P,Derive planned treatment for period 1,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,TRT01A,Derive actual treatment for period 1,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,AOCCPFL,Derive 1st occurrence of preferred term flag,admiral,restrict_derivation,https://pharmaverse.github.io/admiral/reference/restrict_derivation.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,ASTDY,Derive start relative day variable,admiral,derive_vars_dy,https://pharmaverse.github.io/admiral/reference/derive_vars_dy.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,AENDY,Derive end relative day variable,admiral,derive_vars_dy,https://pharmaverse.github.io/admiral/reference/derive_vars_dy.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,ADURN,Derive analysis duration,admiral,derive_vars_duration,https://pharmaverse.github.io/admiral/reference/derive_vars_duration.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,ASTDT,Derive analysis start date variables from datetimes,admiral,derive_vars_dtm_to_dt,https://pharmaverse.github.io/admiral/reference/derive_vars_dtm_to_dt.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,AENDT,Derive analysis end date variables from datetimes,admiral,derive_vars_dtm_to_dt,https://pharmaverse.github.io/admiral/reference/derive_vars_dtm_to_dt.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,ONTRTFL,Derive on-treatment flag,admiral,derive_var_ontrtfl,https://pharmaverse.github.io/admiral/reference/derive_var_ontrtfl.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,AENDTM,Derive analysis end datetime,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,AENDTF,Derive analysis end date imputation flag,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,AENTMF,Derive analysis end time imputation flag,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,ASTDTM,Derive analysis start datetime,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,ASTDTF,Derive analysis start date imputation flag,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADCM,OCCDS,ASTTMF,Derive analysis start time imputation flag,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adcm.R
ADEG,BDS,ADTM,Derive a datetime object from a date character,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,TRTSDT,Derive treatment start date,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,TRTEDT,Derive treatment end date,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,TRT01A,Derive actual treatment for period 1,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,TRT01P,Derive planned treatment for period 1,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,ATMF,Derive time imputation flag,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,ADY,Derive analysis relative day,admiral,derive_vars_dy,https://pharmaverse.github.io/admiral/reference/derive_vars_dy.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,PARAM,Derive a list of parameter codes,admiral,derive_vars_merged_lookup,https://pharmaverse.github.io/admiral/reference/derive_vars_merged_lookup.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,"PARAMCD=""RRR""",Derive RR based on heart rate for each by group,admiral,derive_param_rr,https://pharmaverse.github.io/admiral/reference/derive_param_rr.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,"PARAMCD=""QTCBR""",Derive a parameter for corrected QT using Bazett's,admiral,derive_param_qtc,https://pharmaverse.github.io/admiral/reference/derive_param_qtc.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,"PARAMCD=""QTCFR""",Derive a parameter for corrected QT using Fridericia's,admiral,derive_param_qtc,https://pharmaverse.github.io/admiral/reference/derive_param_qtc.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,"PARAMCD=""QTLCR""",Derive a parameter for corrected QT using Sagie's,admiral,derive_param_qtc,https://pharmaverse.github.io/admiral/reference/derive_param_qtc.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,AVAL,Derive a summary records representing the mean of the triplicates at each visit,admiral,derive_summary_records,https://pharmaverse.github.io/admiral/reference/derive_summary_records.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,ONTRTFL,Derive on-treatment flag from start up to 30 days after treatment ends,admiral,derive_var_ontrtfl,https://pharmaverse.github.io/admiral/reference/derive_var_ontrtfl.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,ANRIND,Derive reference range indicator,admiral,derive_var_anrind,https://pharmaverse.github.io/admiral/reference/derive_var_anrind.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,ASEQ,Derive sequential number for observations within each by group,admiral,derive_var_obs_number,https://pharmaverse.github.io/admiral/reference/derive_var_obs_number.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,BASE,Calculate BASE,admiral,derive_var_base,https://pharmaverse.github.io/admiral/reference/derive_var_base.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,BASEC,Calculate BASEC,admiral,derive_var_base,https://pharmaverse.github.io/admiral/reference/derive_var_base.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,BNRIND,Calculate BNRIND,admiral,derive_var_base,https://pharmaverse.github.io/admiral/reference/derive_var_base.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,ABLFL,Derive analysis baseline flag,admiral,restrict_derivation,https://pharmaverse.github.io/admiral/reference/restrict_derivation.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,ANL01FL,Flag last result within an analysis visit and analysis timepoint for post-baseline records,admiral,restrict_derivation,https://pharmaverse.github.io/admiral/reference/restrict_derivation.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,CHG,Derive change from baseline,admiral,derive_var_chg,https://pharmaverse.github.io/admiral/reference/derive_var_chg.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEG,BDS,PCHG,Derive percent change from baseline,admiral,derive_var_pchg,https://pharmaverse.github.io/admiral/reference/derive_var_pchg.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adeg.R
ADEX,OCCDS,TRTSDT,Derive treatment start date,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adex.R
ADEX,OCCDS,AENDTM,Derive analysis end datetime and date/time imput. flags,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adex.R
ADEX,OCCDS,AENDTF,Derive analysis end date imputation flag,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adex.R
ADEX,OCCDS,AENTMF,Derive analysis end time imputation flag,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adex.R
ADEX,OCCDS,ASTDY,Derive start relative day variable,admiral,derive_vars_dy,https://pharmaverse.github.io/admiral/reference/derive_vars_dy.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adex.R
ADEX,OCCDS,AENDY,Derive end relative day variable,admiral,derive_vars_dy,https://pharmaverse.github.io/admiral/reference/derive_vars_dy.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adex.R
ADEX,OCCDS,EXDURD,Duration of treatment for each record,admiral,derive_vars_duration,https://pharmaverse.github.io/admiral/reference/derive_vars_duration.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adex.R
ADEX,OCCDS,ASTDT,Derive analysis start date variables from datetimes,admiral,derive_vars_dtm_to_dt,https://pharmaverse.github.io/admiral/reference/derive_vars_dtm_to_dt.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adex.R
ADEX,OCCDS,AENDT,Derive analysis end date variables from datetimes,admiral,derive_vars_dtm_to_dt,https://pharmaverse.github.io/admiral/reference/derive_vars_dtm_to_dt.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adex.R
ADEX,OCCDS,ASEQ,"
Derive sequential number for observations within each by group",admiral,derive_var_obs_number,https://pharmaverse.github.io/admiral/reference/derive_var_obs_number.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adex.R
ADEX,OCCDS,ASTDTM,Derive analysis start datetime and date/time imput. flags,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adex.R
ADEX,OCCDS,ASTDTF,Derive analysis start date imputation flag,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adex.R
ADEX,OCCDS,ASTTMF,Derive analysis start time imputation flag,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adex.R
ADEX,OCCDS,TRTEDTM,Derive treatment end datetime,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adex.R
ADEX,OCCDS,TRTSDTM,Derive treatment start datetime,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adex.R
ADFACE,ADSL,ADTM,Derive a datetime object from a date character,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adface.R
ADFACE,ADSL,ADT,Derive analysis date,admiral,derive_vars_dt,https://pharmaverse.github.io/admiral/reference/derive_vars_dt.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adface.R
ADFACE,ADSL,ADY,Derive analysis relative day,admiral,derive_vars_dy,https://pharmaverse.github.io/admiral/reference/derive_vars_dy.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adface.R
ADFACE,ADSL,APERSDT,Derive period start date,admiral,create_period_dataset,https://pharmaverse.github.io/admiral/reference/create_period_dataset.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adface.R
ADFACE,ADSL,APEREDT,Derive period end date,admiral,create_period_dataset,https://pharmaverse.github.io/admiral/reference/create_period_dataset.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adface.R
ADFACE,ADSL,TRTA,Derive actual treatment,admiral,create_period_dataset,https://pharmaverse.github.io/admiral/reference/create_period_dataset.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adface.R
ADFACE,ADSL,TRTP,Derive planned treatment,admiral,create_period_dataset,https://pharmaverse.github.io/admiral/reference/create_period_dataset.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adface.R
ADFACE,ADSL,"FATESTCD=""SEV""","Derive  severity records from diameter for redness, swelling, etc",admiralvaccine,derive_diam_to_sev_records,https://pharmaverse.github.io/admiralvaccine/reference/derive_diam_to_sev_records.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adface.R
ADFACE,ADSL,"FATESTCD=""MAXSEV""",Deriving maximum severity for local and systemic events,admiral,derive_extreme_records,https://pharmaverse.github.io/admiral/reference/derive_extreme_records.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adface.R
ADFACE,ADSL,"FATESTCD=""MAXDIAM""",Deriving maximum diameter for administrative site reactions,admiral,derive_extreme_records,https://pharmaverse.github.io/admiral/reference/derive_extreme_records.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adface.R
ADFACE,ADSL,"FATESTCD=""MAXTEMP""",Deriving maximum temperature,admiral,derive_extreme_records,https://pharmaverse.github.io/admiral/reference/derive_extreme_records.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adface.R
ADFACE,ADSL,ANL01FL,Derive flags for the maximum record per subject per event per vaccination,admiralvaccine,derive_vars_max_flag,https://pharmaverse.github.io/admiralvaccine/reference/derive_vars_max_flag.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adface.R
ADFACE,ADSL,ANL02FL,Derive flags for the maximum record per subject per event for overall,admiralvaccine,derive_vars_max_flag,https://pharmaverse.github.io/admiralvaccine/reference/derive_vars_max_flag.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adface.R
ADFACE,ADSL,EVENTFL,Derive flags the record if at least one of the event occurred within the observation period,admiralvaccine,derive_vars_event_flag,https://pharmaverse.github.io/admiralvaccine/reference/derive_vars_event_flag.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adface.R
ADFACE,ADSL,EVENTDFL,Derive flags the record if the event is occurred,admiralvaccine,derive_vars_event_flag,https://pharmaverse.github.io/admiralvaccine/reference/derive_vars_event_flag.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adface.R
